contentid,capacity,baby_carriage,credit_card,pet,discount_info,info_center,parking,parking_fee,rest_date,use_fee,use_time,scale,spend_time
2488233,"3,000명 수용 가능",가능,없음,불가,,안내데스크 053-953-0365,"주차 가능 (약 소형 22대, 대형 2대, 장애인 4대 주차가능)",무료,"매주 월요일, 설/추석 연휴",유료,"매주 화~일요일 10:00~18:00 (단, 17:30 입장마감)","부지면적 37,200㎡, 건축연면적 2,211㎡(지상2, 지하1층)",약 3시간(개인차있음)
130132,"일일수용능력 1,000여명 / 강당 360석 / 시청각실 98석",가능,없음,불가,,국립대구박물관 053-768-6051~2,"주차 가능(총 155대/대형 21대, 소형 134대)",관람시간 내 무료,"매주 월요일, 1월 1일, 설/추석","무료(1층 안내데스크에서 무료관람권을 배부 받아 입장)<br />
※ 단, 일부 기획전시/특별전시는 제외<br />
※ 보호자를 동반하지 아니한 6세 이하의 어린이는 관람 금지","* 평일 : 10:00 ~ 18:00<br />
* 주말, 공휴일 : 10:00 ~ 19:00<br />
* 토요야간개장 : 10:00 ~ 21:00 (4월~10월중 매주 토요일)<br />
* 문화가있는날 : 10:00 ~21:00 (매월 마지막 수요일이 포함된 주의 토요일)","대지 101, 904㎡<br />
건물면적 15,027.64㎡",약 1시간 내외
2366217,,없음,가능,불가,,"계산예가 053-661-3323, 2621",없음(인근 유료주차장),,설날/추석 연휴 당일,무료,09:00~18:00 (11월~2월 17:30),,1시간
130660,1일 평균 800명 내외,없음,없음,불가,,낙동강승전기념관 053-621-9880,주차 가능,,연중무휴,무료,10:00~17:00,"부지 10,990㎡ (3,294평) / 연건평 2,050㎡ (620평)",
1761643,,없음,없음,없음,,053-659-4490,주차 가능,무료,"신정, 설/추석 연휴",무료,"하절기(3~10월) 09:30~18:00<br />
동절기(11~2월) 09:30~17:00",부지 4198㎡(지상 2층),
130384,,없음,없음,불가,,남구문화원 053-652-4450,주차 가능,,"토요일, 일요일, 공휴일",,09:00~18:00,,
130386,,없음,없음,불가,,달서문화원 053-554-4800,주차 가능,,"토요일, 일요일",,09:00~18:00,대지 417.70㎡  연면적476.79㎡ 지하1층 지상3층,
130385,,없음,없음,불가,,대구 북구문화원 053-326-2553,주차 가능,,"토요일, 일요일, 공휴일",,09:00~18:00,,
130387,,없음,없음,불가,,서구문화원 053-663-3081,문화회관 주차장 이용,,,,"공연, 전시, 프로그램에 따라 상이",,
2553566,,없음,없음,없음,"-보호자 1인 입장권 구매 시 36개월미만 유아 1명에 한해 무료입장이 가능<br>
 *나이를 확인 할 수 있는 증빙자료를 필히 지참해주세요.(의료보험증,주민등록등본 등) <br>
 -장애인 우대 : 20%할인 (동반 1인/현장발권시에만 적용가능) <br>
 -국가 유공자 우대 : 20%할인 (현장발권시에만 적용가능)<br>
 -경로 우대(만 65세이상) :어린이 요금으로 결제가능 (현장발권시에만 적용가능)<br>
 -증빙서류를 요청할 수 있음(예:의료보험증, 주민등록증, 복지카드 등)<br> -단체요금 20인 이상<br>",대구 아쿠아리움 053-247-8899,주차가능(신세계백화점 대구점 주차장),아쿠아리움 입장 시 2시간 무료주차,월 1회 휴관 (신세계백화점 대구점 휴관일과 동일),"성인(만19세 이상) 개인 : 27,000원 / 청소년(만13세~만18세) 개인 : 25,000원 / 어린이(36개월~만12세) 개인 : 23,000원<br>
- 13세 이하 어린이는 부모님 동반 시 입장가능<br>
- 유료 프로그램은 입장권과 별도요금<br><br>","월~목 11:00~20:00 (입장마감 19:00)<br />
금~일,공휴일 11:00~20:30 (입장마감 19:30)",,
130008,,없음,없음,불가,,대구 중구문화원 053-255-5123,주차 가능,,"토요일, 일요일, 공휴일",,09:30~17:30,전용면적 161평,
130411,"고정객석 1,080석(최대 수용인원 27,000명)",없음,없음,불가,,코오롱 야외음악당 053-606-6450,주차 가능,,,,오전 09:00~12:00 / 오후 13:00~17:00 / 야간 18:00~22:00,"대지면적 32,330㎡ (9,780평)",
130806,,없음,없음,불가,,"대구광역시립남부도서관 053-231-2300,1",주차 가능,,"매월 둘째, 넷째 월요일, 국정공휴일, 관장이 필요하다고 인정하는 날",무료,"[일반열람실] 07:00~22:00<br />
[종합자료실/연속간행물실/디지털자료실]<br />
평일 09:00~19:00 / 주말 09:00~17:00<br />
[어린이자료실] 평일 09:00~18:00 / 주말 09:00~17:00","부지 18,082㎡, 건물 7,533.05㎡",
130746,,없음,없음,불가,,중앙도서관 053-231-2000,주차 가능,,"매월 둘째, 넷째 월요일 및 관공서 공휴일(단, 일요일은 개관하며, 공휴일과 겹치는 일요일은 휴관)",,"[일반 열람실] 07:00~22:00 <br>
 [낙육재(고문헌실)] 평일 09:00~18:00 <br>
 [어린이열람실/국제정보센터] <br>
 평일 09:00~18:00 / 주말 09:00~17:00 <br>
 [장애인열람실]<br>
07:00~22:00<br>
[정기간행물.논문실/디지털자료실] <br>
 평일 09:00~19:00 / 주말 09:00~17:00 <br>
 [종합자료실/인문자료실] <br> 평일 09:00~22:00 / 주말 09:00~17:00","부지 10,260㎡, 건물연면적 10,396㎡",
130191,,없음,없음,불가,,어린이회관 053-803-7930,대구 시설관리공단운영 유료주차장 이용(문의 1577-6446),"16인승 미만(승용차 등) - 2시간까지 1,000원 / 2시간 초과 2,000원<br>
16인승 이상~45인승 이하 - 2시간까지 2,000원 / 2시간 초과 4,000원<br>
45인승 이상 (대형버스 등) - 2시간까지 3,000원 / 2시간 초과 6,000원","1월 1일, 설/추석<br>
매주 월요일(꿈누리관에 한하여 휴관)<br>
※ 월요일의 경우 야외 전시시설 및 꾀꼬리극장 등은 정상적으로 운영",무료,"하절기(3~10월) 09:30~18:00<br>
동절기(11~2월) 09:30~17:30<br>
※ 야외시설 - 24시간 무료 개방","면적  147,558.3㎡(44,636평)<br>
문화관(본관) 5,628㎡<br>
꾀꼬리극장(별관) 2,952㎡<br>
희귀선인장, 기타 381㎡",
129837,,없음,없음,불가,,사무실 053-620-1471~2,주차 가능,,"매주 토요일, 일요일, 법정공휴일, 개교기념일(3.26)",무료,"10:00~17:00<br />
※ 폐관시간 30분전까지 입실",454.32㎡,
2554087,연간 6만명,가능,없음,불가,,대구교육박물관 053-231-1790,"주차가능(버스 10대, 승용차 30대, 장애인전용 2대)",무료,"매주 월요일, 1월 1일, 설날/추석 당일",무료,"평일, 주말 09:30~18:00(17:00까지 입장)","연면적 5,270㎡, 부지면적 14,002㎡",약 2시간
1251806,50명,불가,없음,불가,,대구근대역사관 053-606-6430,,,"1월 1일, 설·추석 당일, 매주 월요일(공휴일인 경우 그 다음날), 박물관 시설 안전점검이나 시설수리 시 필요한 기간, 그 외 박물관장이 필요하다고 인정하여 정하는 휴관일",무료,"하절기(4~10월) 09:00~19:00<br />
동절기(11~3월) 09:00~18:00<br />
※ 관람종료시간 30분 전까지 입장 완료",1971㎡,
130410,,없음,가능,불가,,대표번호 053-606-6114,주차 가능,무료,,"공연, 전시마다 다름","공연, 전시마다 다름","부지면적 : 66,100㎡ (공연관 5,929㎡, 전시관 13,636㎡)",
1856967,"5,000명 수용 가능",없음,가능,불가,,대구미술관 053-803-7900,주차 가능(약 200대 이상),,매주 월요일(월요일이 공휴일인 경우 그 다음 평일이 휴관),"※ 전시에 따라 변동될 수 있음<br />
개인 - 성인(20세~65세) 1,000원 / 청소년(14세~19세), 하사 이하의 군인 700원 / 초등학생(8세~13세) 700원
단체 - 성인(20세~65세) 700원 / 청소년(14세~19세), 하사 이하의 군인 500원 / 초등학생(8세~13세) 500원","하절기(4~10월) 10:00~19:00<br />
동절기(11~3월) 10:00~18:00<br />
※ 매표시간 : 개관시간 30분 전부터 관람종료시간 1시간 전까지","대지면적 71,202㎡<br />
건축면적 8,807.27㎡<br />
연면적 21,701.44㎡<br />
전시면적 5,168.12㎡",약 1시간
1117178,극장식 183석(장애인석 2석 별도),없음,없음,불가,,대구북구청소년회관 053-383-1300,주차 가능(65대),,,공연에 따라 다름,공연에 따라 다름,,
1116566,"공연장 452석(1층 242석, 2층 210석), 야외공연장 370석",없음,없음,불가,,대구서구문화회관 053-663-3081,주차 가능,,,,,"대지 : 8,538㎡ (2,582.7평)<br />
건물 : 5,834.35㎡(1,764.88평)<br />
지하 1층, 지상 3층",
1935424,,가능,없음,불가,,"대구예술발전소 053-430-1225,8",주차 가능(주차공간이 협소하므로 가급적 대중교통 이용),,"매주 월요일, 1월 1일, 설날, 추석날, 그 밖에 시장이 정하는 휴일",무료(기획전시의 경우 유료 가능),"하절기(4~10월) 10:00~19:00<br>
동절기(11~3월) 10:00~18:00<br />
※ 30분전 입장마감",,
130665,"1,508석(장애인석 16석 포함)",없음,가능,불가,,대구오페라하우스 053-666-6000,주차 가능 (대구삼성창조캠퍼스 유료주차장 이용),"공연관람객 2시간 무료주차 (공연당일 대구오페라하우스 홍보관 안내데스크에서 등록요청)<br />
2시간 초과 시, 15분당 500원의 추가요금 부과",연중무휴,공연에 따라 다름,공연에 따라 다름,"대지면적 8,659,42㎡ (2,619,47평) / 건축면적 4,705,96㎡ (1,423,55평) / 연면적 17,189,28㎡ (5,199,76평) / 지하 2층, 지상4층 (건물높이 - 34.1m)",
129736,"콘서트홀(대공연장) 1,284석(2층 594석, 3층 212석, 합창석 192석, 발코니석 272석, 장애인석 14석) <br />
챔버홀(소공연장) 248석",없음,없음,불가,,대구콘서트하우스 053-250-1400,"주차 가능(287대 - 장애인 9대, 경차 12대 포함)",대구콘서트하우스 문의 053-250-1400,"법정공휴일, 매주 월요일(공연장에 한함)",공연에 따라 다름,09:00~18:00,"부지면적 10,330.60㎡ / 연면적 26,793.75㎡<br />
대공연장 6,457.79㎡(1,953평) / 공연지원관 20,335.96㎡(6,152평)",공연에 따라 다름
130625,,가능,없음,불가,,대백프라자갤러리 053-420-8015,대구백화점 주차장 이용 (관람시 2시간 무료 이후는 유료),,"매주 월요일, 명절 연휴",무료,10:30~20:00,,
129932,,없음,없음,불가,,동원화랑 053-423-1300,없음,,매주 일요일 (기획전시 중에는 무휴),,10:00~19:00,,
130334,,없음,없음,불가,,맥향화랑 053-421-2005,주차 가능,,일요일 (전시기간 중에는 변동 가능),무료,"월~토 10:00∼18:00<br />
일요일(전시기간중) 11:00~18:00",전체규모 60평 / 전시공간 A전시홀 20평 / B전시홀 10평,
2555014,200명 수용 가능,없음,가능,불가,장애인 - 무료,박물관 수 053-744-5500,주차가능(소형 6대),무료,"매주 일요일, 국경일","어른(19~64세) - 개인 5,000원 / 단체 3,000원(20인 이상)<br />
청소년(7~18세) - 개인 3,000원 / 단체 2,000원(10인 이상)<br />
어린이(6세까지) - 무료",10:00~17:00,"부지면적 456,20㎡, 건축연면적 404,79㎡(지상4, 지하1층)<br> 전시면적 184.47㎡(3층 184.47㎡)",약 2시간
2665320,,없음,없음,없음,,053-662-4110,,,"매주 토/일요일, 관공서 공휴일",무료,평일 09:00~18:00(점심시간 13:00~14:00),"* 철도역사 1동 102.51㎡/부대시설(화장실) 1동 35.1㎡<br/>
* 장서수 9,175권",
1756226,"가온홀 423석, 스페이스라온 90석, 야외공연장 150명 정도",없음,없음,불가,프로그램에 따라 다름,053-661-3500,주차 가능(소형34대 주차 가능),무료,매주 월요일,프로그램에 따라 다름,10:00~22:00,"대지면적 : 3,273.40㎡ (990.2)<br />
연면적 : 6,390.39㎡ (1,933)<br>건축면적 : 2,017㎡<br />
지하 1층 : 지하주차장(34대), 제3강의실(225.67㎡)<br />
1층 : 가온홀(661.34㎡), 스페이스라온(122.4㎡)<br />
2층 :&nbsp;가온홀(118.84㎡), 제3전시실(119.64㎡), 아트스페이스(36.58㎡), 
제4전시실(68.40㎡), 야외공연장(116.36㎡)<br />
3층 : 제1전시실(364㎡), 제2전시실(105㎡)<br />
4층 : 제1강의실(91.8㎡), 제2강의실(80.52㎡)",프로그램에 따라 다름
1116611,,불가,없음,불가,,서구어린이도서관 053-663-3701,주차 가능,,"매주 월요일, 일요일을 제외한 법정공휴일, 임시공휴일, 도서관장이 필요하다고 인정한 경우",,"평일(화~금) : 09:00~18:00<br />
주말(토~일) : 09:00~17:00","부지면적 : 700㎡ <br />
연면적 : 1,624㎡(지하 1층, 지상 3층)",
2606215,,없음,없음,없음,,달서구청 문화체육관광과 053-667-2191,,,,,,,
2366240,열람석 516석,없음,없음,불가,,고산도서관 053-668-1900,주차 가능,,매주 월요일 / 일요일을 제외한 관공서의 공휴일,,"[어린이자료실] 09:00~18:00 (토,일 09:00~17:00) <br />
[종합자료실] 09:00~22:00 (토,일 09:00~17:00)","지하1~지상4층, 연면적 2,991.98㎡(대지 2,080㎡), 자료실, 강좌실, 시청각실 등",
2366227,열람석 891석,없음,없음,불가,,범어도서관 053-668-1600,주차 가능,,매주 월요일 / 일요일을 제외한 관공서의 공휴일,,"[어린이자료실] 09:00 ~ 18:00 (토,일 09:00 ~ 17:00) <br />
[국제자료실/종합자료실3] 09:00 ~ 20:00 (토,일 09:00 ~ 17:00)<br />
[종합자료실 1, 2] 09:00 ~ 22:00 (토,일 09:00 ~ 17:00)<br />
[Gallery Ars's] 10:00 ~ 18:00 (토,일 10:00 ~ 17:00)","지하1/지상5층, 연면적 6,904㎡(대지 5,965㎡) 전시실, 자료실, 시청각실 등",
2366233,열람석- 673석,없음,없음,불가,,용학도서관  053-668-1700,주차 가능,,매주 월요일 / 일요일을 제외한 관공서의 공휴일,,"[어린이자료실 및 멀티플렉스관] 09:00~18:00 (토,일 09:00~17:00) <br />
[노트북실] 09:00~20:00 (토,일 09:00~17:00)<br />
[종합자료실] 09:00~22:00 (토,일 09:00~17:00)<br />
[일반열람실] 09:00~22:00","지하1~지상5층, 연면적 4,515.9㎡(대지 1,720㎡), 자료실, 열람실, 시청각실 등",
1115451,"공연장 : 대공연장(용지홀) 1,159석 / 소공연장(무학홀) 301석<br> 전시실 : 대전시실(호반갤러리) 97평 / 소전시실(멀티아트홀) 35평 / 예술아카데미",없음,가능,불가,"[장애인] 1급-3급 50%할인(동반 1인까지), 4급-6급 50%할인(본인에 한함)<br/>
[국가유공자] 본인에 한해 50%할인(동반 1인)",수성아트피아 053-668-1800,주차 가능,무료,"매주 월요일,휴관일",공연에 따라 다름,전시관람 10:00~19:00,"대지면적 : 18,035㎡ (지하2층, 지상3층)<br />
건축면적 : 3,658.21㎡",
2605808,,없음,없음,없음,,수창청춘맨숀 053-252-2566,,,,,,,
130335,,없음,없음,불가,,신미화랑 053-424-1442,불가,,매주 일요일,무료,10:00~19:00,30여 평,
1756202,"대공연장 1,100석, 가변형 블랙박스 극장 200석, 야외공연장 400석, 놀이마당 400석",불가,가능,불가,,053-951-3300,주차 가능(173면),"제1주차장 - 회원전용<br />
제2주차장 - 회관 이용객에 한해 무료 개방",연중무휴,,,"부지면적 : 25,057㎡ (7,579평)<br />
연면적 : 11,680㎡ (3,533평)<br />
건물면적 : 4,989㎡ (지하2층/지상3층)",
2366221,,없음,없음,없음,,053-661-2043,없음(인근 유료주차장),,"매주 월요일(월요일이 공휴일 경우는 그 다음날), 1월 1일, 설날 및 추석날",무료,09:00~19:00 (11월~3월 18:00),"대지면적 660.6㎡, 건축연면적 756.44㎡(시상2층, 지하1층)",약 1시간
250468,,가능,가능,불가,,EXCO 053-601-5000,"제1주차장(본관 지하 3,4층), 제2주차장(신관 지하 1,2층)","주차요금 기본 30분 1,000원 / 초과 10분마다 300원 / 일일주차 8,000원<br />
※ 장애인 및 국가유공자의 경우 증명서(복지카드 등)를 제시하고, 본인 탑승시 적용",,"전시,공연마다 다름","전시,공연마다 다름",,
130128,,없음,없음,불가,,예송갤러리 053-426-1515,없음,,매주 일요일 (전시기간중 무휴),무료,10:00~19:00,30여 평,
1756217,"청룡홀 455석, 와룡홀 212석",없음,가능,불가,,053-584-8715,주차 가능,무료,설/추석 당일,,09:00~22:00,"부지면적 18,815㎡, 건축연면적 9,230㎡ (본관 6,248㎡, 별관 2,982㎡) <br />
규모 - 본관: 지하1층 지상3층, 별관: 지하1층 지상2층",
1248810,,없음,없음,불가,,자연염색박물관 053-981-4330,주차 가능,무료,매주 월요일,"관람료 (단체 30인 이상)<br />
대학생 및 일반 성인 - 3,000원 / 2,500원 <br />
중고등학생 - 2,500원 / 2,000원<br />
초등학생 - 1,500원 / 1,000원",10:00~17:00,2543㎡,40분 내외
1318568,60명/일,없음,가능,불가,,작은중앙가족박물관 070-8977-6606,인근 공영주차장 이용,유료,"일요일, 공휴일",무료,10:00~18:00,15평 규모,15분 내외
129933,,없음,없음,불가,,053-425-0808,없음,,"매주 일요일, 설날, 추석",무료,10:00~19:00,,
130388,,없음,없음,불가,,팔공문화원 053-984-8774,주차 가능,,"토요일, 일요일, 공휴일",,09:00~18:00,611.94m²,
1899703,,없음,없음,불가,,053-721-7400,주차 가능,,,,,"대지면적 4,114.80㎡ / 건축면적 2,573.53㎡ / 연면적 8,672.03㎡<br />
규모 : 지상 3층, 지하 1층",
2366225,,없음,가능,불가,,053-661-2351,주차 가능,상품구매시 2시간 무료,"[사무실] 토~일요일<br />
[전시간/영상관] 2, 4주 화요일 <br />
[판매매장] 2, 4주 화요일",무료,"사무실 09:00~18:00 <br />
전시관/영상관 09:00~18:00<br />
판매매장 10:30~20:30<br />","대지면적 : 2,546.34㎡(770.27평) <br />
건축면적 : 1,247.61㎡(377.40평)  <br />
연면적 : 8,710.12㎡(2,634.81평)<br />
지하2층~지상8층",
1115838,,없음,없음,불가,,행복북구문화재단 문화사업본부 053-320-5120,주차 가능,무료,,,※ 공연에 따라 변동됨,"공연장 2,107㎡ / 전시실 217,3㎡",
1988024,동시수용가능 인원 500명,없음,가능,불가,"* 국민기초생활보장법에 의한 수급자<br />
* 국가유공자 등 예우 및 지원에 관한 법률에 의한 국가유공자 또는 그 가족<br />
* 한부모가족 지원법에 따른 저소득의 모자(조모) 또는 부자(조부)가정의 청소년<br />
* 장애인복지법에 의하여 1급부터 3급까지 등록된 장애인 및 그와 동행하는 보호자 1명<br />
* 유물·자료를 기증하는 등 문화관 발전에 기여한 사람<br />
* 7세 이하 영유아",향촌문화관 053-661-2331,없음,,"매주 월요일(월요일이 공휴일이면 익일휴무), 1월 1일","성인(20~64세) - 개인 1,000원 / 단체 500원(20인 이상)<br />
청소년(8~19세) - 개인 500원 / 단체 500원(20인 이상)<br />
어린이(7세까지) - 무료","하절기(4~10월) 09:00~19:00<br />
동절기(11~3월) 09:00~18:00<br />
※ 30분 전까지 입장 가능","지상 4층, 지하 1층",약 2시간
1613753,,없음,없음,불가,,향토역사관 053-606-6421~2,인근 공영주차장 이용,,"매주 월요일, 1월 1일, 설/추석 당일",무료,09:00~18:00,269평,
1621168,,없음,없음,없음,,고싸움놀이보존회 고객센터 062-374-3839,주차 가능,,,,,"건평 317㎡, 부지 1,523평",
130032,,없음,없음,불가,,광산문화원 062-941-3377,주차 가능,,"토요일, 일요일, 공휴일",,09:00~18:00,전용면적 227평,
130392,,없음,없음,불가,,남구문화원 062-671-7356,주차 가능(주차 공간이 부족하므로 가능한 대중교통 이용 바람),,"토요일, 일요일, 공휴일",,09:00~18:00,,
130391,,없음,없음,불가,,062-225-5815,주차 가능,,"토요일, 일요일",,09:00~18:00,,
130208,,없음,없음,불가,,북구문화원 062-527-7701,주차 가능,,"토요일, 일요일, 공휴일",,09:00~18:00,,
130808,,없음,없음,불가,,062-940-8900,주차 가능,,"매월 둘째, 넷째 월요일 / 일요일을 제외한 관공서의 공휴일 / 개관기념일 (매년 4월 10일) / 특별한 사유로 관장이 지정하는 날",무료,"[열람실] 08:00~22:00<br />
[정보자료실/어린이실]<br />
평일 09:00~18:00 / 주말 09:00~17:00","대지 3,360㎡(1.106평), 건물 3,310㎡(1,001평)",
130065,,없음,없음,불가,,062-613-5337~8,주차 가능,,"매주 월요일, 1월 1일, 공휴일 다음날",무료,09:00~18:00 (마감 30분 전까지 입장),"부지 72,000㎡,  상설전시실(1,2층) 2,535㎡<br />
지상 2층,  지하 1층",
130033,,없음,없음,불가,,광주광역시 서구문화원 062-681-4174,주차 가능,무료,"토요일, 일요일, 공휴일",,09:00~18:00,전용면적 116평,
130835,,없음,없음,불가,,광주광역시 사직도서관 062-613-7783,"주차 가능 17대 <br />
(07:00 ~ 22:00) - 승용차 요일제 시행",무료,"매월 첫번째, 세번째 월요일, 관공서의 공휴일 (단. 일요일은 개관) / 도서관의 사정으로 관장이 지정하여 공고하는 날",무료,"[열람실] 07:00~22:00<br />
[종합자료실] 평일 09:00~22:00 / 주말 09:00~17:00<br />
[어린이실] 평일 09:00~18:00 / 주말 09:00~17:00<br />
[디지털자료실] 평일 09:00~18:00 / 주말 09:00~17:00","부지 2,982㎡ (902평), 건평 5,124㎡ (1,550평), 좌석 1,440석(열람실6, 자료실3, 기타6)",
130810,,없음,없음,불가,,광주광역시립무등도서관 062-613-7753,"주차 가능 (07:00 ~ 23:00, 101면, 승용차요일제 시행)",무료,"매월 두번째, 네번째 월요일, 관공서의 공휴일 (단. 일요일은 개관) / 도서관의 사정으로 관장이 지정하여 공고하는 날",무료,"[종합자료실] 평일 09:00~22:00 / 주말 09:00~17:00<br />
[어린이실/디지털 자료실]<br />평일 09:00~18:00 / 주말 09:00~17:00<br />
[장애인실/아메리칸코너]<br />평일 09:00~18:00 / 주말 - 휴실<br />
[열람실] 평일 07:00~23:00 / 주말 07:00~22:00","부지 1,488㎡(450평), 건평 2,706㎡(819평)",
130811,좌석 1300석,없음,없음,불가,,산수도서관 062-613-7831,주차 가능,무료,"매월 첫번째, 세번째 월요일, 관공서의 공휴일 (단, 명절이 아닌 일요일은 개관) / 도서관의 사정으로 관장이 지정하여 공고하는 날",무료,"[종합자료실] 평일 09:00~22:00 / 주말 09:00~17:00<br>
 [어린이실] 평일 09:00~18:00 / 주말 09:00~17:00<br>
 [디지털자료실] 평일 09:00~18:00 / 주말 09:00~17:00<br>
 [미술실] 평일 09:00~22:00 / 주말 09:00~17:00 <br> [열람실] 07:00~22:00","부지 1,823㎡ (551평), 건평 4,532㎡ (1,371평)",
130058,"대극장 1,722석(1층 1,214석, 2층 508석) <br />
소극장 504석(오케스트라 피트 좌석 미사용시 396석)",없음,가능,불가,"예술단체 일반, 우대회원 50%, 다자녀가정 등",광주문화예술회관 062-613-8333,주차 가능,,"설날, 추석",공연에 따라 다름,09:00~22:00,"부지면적 88,422㎡, 건축연면적 46,979㎡(지상2, 지하2층), 야외 원형무대 108㎡<br />
전시면적 1,274㎡(1층 600㎡, 2층 674㎡ )",공연에 따라 다름
129761,,가능,없음,불가,,광주시립미술관 062-613-7100,주차 가능,,"매주 월요일, 1월 1일, 추석․설날 당일<br />
※ 전시작품교체 등에 따른 임시휴관일은 별도 공지",무료,"평일, 주말, 공휴일 10:00~18:00<br />
매월 마지막 주 수요일 10:00~20:00","13616㎡ (지하 3층, 지상 2층)",
969963,"4,000여명",없음,없음,없음,,광주시 문화도시정책관 062-613-3183,주차 가능(광주시청 주차장),무료,,공연에 따라 다름,공연에 따라 다름,"* 대지면적 : 6,600㎡ (2,000평)<br />
* 무대규모 : 가로 19.60m, 세로 13.20m (64평)",공연에 따라 다름
130762,열람석 (총 790석),없음,없음,불가,,광주중앙도서관 062-607-1300,"주차가능(주차 공간이 협소함으로 대중교통 이용 바람)<br />
※ 차량순번제 시행",무료,"매월 둘째, 넷째 월요일 / 일요일을 제외한 관공서의 공휴일(일요일과 관공서의 공휴일 겹치면 휴관) / 개관기념일 (매년 7월 2일) / 특별한 사유로 관장이 지정하는 날",,"[각 학습실] 07:00~22:00 / [정보자료실] 09:00~18:00<br />
[간행물실] 09:00~22:00 / [어린이실] 09:00~18:00<br />
[디지털자료실] 09:00~18:00<br />
※ 자료열람시간 - 주말 09:00~17:00","대지 3,708㎡ (1,122평), 건물 3,979㎡ (1,204평)",
130809,,없음,없음,없음,,광주학생교육문화회관 062-380-8800,주차 가능,,"매월 둘째, 넷째 월요일 / 일요일을 제외한 관공서의 공휴일(일요일과 관공서 공휴일이 겹치면 휴관) / 개관기념일(9월 3일)",무료,"[열람실] 07:00~22:00<br />
[자료실/기타] 09:00~18:00 (주말 17:00까지)","지하2층, 지상7층",
129757,,없음,없음,불가,,광주학생독립운동기념회관 062-221-5500,주차 가능 (가급적 대중교통 이용바람),,"매월 첫째주/셋째주 월요일, 법정 공휴일, 개관 기념일(11/3), 특별한 사유로 관장이 정한 날",무료,"[학습실] 07:00~22:00<br />
[어린이실/종합자료실]<br />
평일 09:00~18:00 / 주말 09:00~17:00","건물연면적 : 13,783㎡",
2033294,"3,000명 수용 가능",없음,가능,불가,,국립광주과학관 062-960-6210~2,주차 가능,"[당일] 경차 1,000원 / 소형 2,000원 / 중형 4,000원<br />
※ 장애인, 국가유공자 무료","매주 월요일(단, 월요일이 공휴일인 경우 다음날 휴관), 1월1일, 설날/추석 당일","어른(20~64세) - 개인 3,000원 / 단체 2,000원(20인 이상) <br />
청소년,어린이(7~19세) - 개인 2,000원 / 단체 1,500원(20인 이상)<br />
경로우대자(65세 이상), 6세미만 유아, 국가유공자, 장애인 등 무료",09:30~17:30 (입장마감 16:30),"부지면적 98,248㎡, 건축연면적 17,325㎡(지상3층, 지하1층) <br />
전시면적 7,209㎡",약 4시간
129782,,가능,없음,불가,,062-570-7000,"대형(47대), 소형(232대) 주차 가능",무료,"1월1일, 설, 추석","무료(무료관람권 배부 발부받아 입장)<br />
※ 대상 : 상설전시관, 어린이박물관, 무료 기획전시(단, 유료 특별 기획전시 제외)","평일 10:00 ~ 18:00<br>
 토·일·공휴일 10:00 ~ 19:00<br> 토(3월~10월), 매달 마지막 수요일 10:00 ~21:00<br>","대지 83,381㎡<br />
 전시동(지상 2층, 지하 4층) 7,055.84㎡<br />
 사무동(지상 2층, 지하 1층) 2,751.9㎡<br />
 연구동(지하 1층, 지상 3층) 847,67㎡<br />
 매표소 135,87㎡<br> 고려청자가마터 75㎡",약 1시간
2009775,,없음,없음,없음,,국립아시아문화전당 1899-5566,있음,,"휴관일 : 매주 월요일, 1월 1일",시설에 따라 모두 상이하니 홈페이지 참고,"내부시설개방 : 10:00 ~ 18:00(수요일 ~21:00 / 토요일 ~19:00)<br />
외부시설개방 : 08:00 ~ 22:00<br />",,
130807,,없음,없음,불가,,금호평생교육관 062-360-6600,주차가능(주차 공간 협소),,"매월 첫째,셋째 월요일 / 법정 공휴일 / 개관기념일(4월2일) / 특별한 사유로 관장이 정한 날 / 개관기념일",무료,"[열람실] 07:00~22:00<br />
[종합자료실/어린이실/디지털자료실]<br />
평일 09:00~18:00 / 토,일요일 09:00~17:00","대지 6,503 (1,970평), 3동 6,429.25 (1,948.25평)",
252654,,없음,가능,불가,,김대중컨벤션센터 062-611-2000,"총 1,502대<br />
- 부설주차장 : 459대 (지하:195대, 지상:264대)<br />
- 제1주차장 : 478대<br />
- 제2주차장 : 565대","기본 30분까지 700원<br />
1시간 1,400원 <br />
일일 주차권 : 8,000원",,,,"부 지 53,301㎡ / 건 물 23,867㎡ / 연면적 40,046㎡",
231964,,없음,없음,불가,,남도향토음식박물관 062-410-6642,주차 가능,무료,"매주 월요일, 토·일요일 제외한 공휴일",무료,09:00~18:00,"대지면적 3,300㎡ / 건축 1,006.68㎡ / 연건축면적 2,358㎡ <br />
기획전시실 188.4㎡(1층) /상설전시관 158.7㎡(2층) /호남문화자료전시관 135.5㎡(3층)
 어린이체험실 99.2㎡(2층)/향토음식체험실 145.5㎡(2층) / 뮤지엄스튜디오 112.4㎡(2층) / 세미나실 145.5㎡(3층)",
130117,,없음,없음,불가,,무등갤러리 062-236-2520,불가 (주변 유료 주차장 이용가능),,연중무휴,무료,"하절기 10:00~19:00<br />
동절기 10:00~18:00",75평,
