contentid,distance,info_center,schedule,spend_time,theme
1874079,약 40km,,,7시간,
1874091,약 60km,,,7시간(걷기길 약 3시간 포함),
2037718,23.77km,,,6시간,
1873996,23.5km(강천사 왕복 4km 포함),,,8시간,
1865572,38km,,,5~6시간,
1857193,24.7km,,,6시간,
2514463,25.2km,,,,
2380932,11.66km,,,1박2일,
2660111,109.3km,,,1박2일,
2514466,20.46km,,,,
2046271,29.77km,,,1박 2일,
2036076,2.95km,,,4시간,
1874147,약 72km,,,8시간,
1874040,37.5km,,,1박 2일,
1860438,9.8km,,,6시간,
1966516,48.74km,,,1일,
1960286,30.62km,,,6시간,
1960297,76.55km,,,1일,
1965944,25.91km,,,1일,
2034874,3.67km,,,4시간,
1921196,30.29km,,,8시간,
2385661,3.66km,,,5시간,
1874123,약 70km,,,8시간,
1857208,44.5km,,,5시간,
1874010,약 50km,,,6시간,
1874109,약 12km,,,4시간,
1854234,11km,,,7시간,
1966893,20.51km,,,5시간,
1854239,26km,,,6시간,
2519152,7km,,,,
2530539,233.02km,,,약 3시간,
2037274,12.88km,,,1박 2일,
2036028,16.41km,,,1일,
1885246,27.9km,,,6.5시간,
2385665,3.25 km,,,1일,
2037381,32km,,,1박 2일,
1854612,31.8km,,,5~6시간,
1886060,32.7km,,,6.5시간,
1885610,36.8km,,,6시간,
1966520,26.55km,,,7시간,
1966522,60.60km,,,1일,
1874783,13km(여수-사도 뱃길 제외),,,7시간,
1885567,22.9km,,,6시간,
2519150,90.51km,,,,
2371970,28.07km,,,6시간,
2393466,1.81km,,,4시간,
2514080,38.68km,,,,
2434014,약 32km,,,약 7시간,
1885232,59.7km,,,6시간,
1856925,40.4km,,,6시간,
2515316,6.61km,,,,
1885239,14km,,,1박 2일,
2365380,11.86km,,,8시간,
1886072,59.2km,,,1박 2일,
1886063,39.7km,,,7시간,
2393547,5.71km,,,1일,
2393500,7.28km,,,1일,
1874182,14.8km,,,8시간30분,
1874329,53km,,,9시간,
1885614,34.4km,,,7시간,
2050465,13.51km,,,1일,
1874773,50km(여수-금오도 뱃길 제외),,,8시간,
1885216,54.6km,,,1박 2일,
1968560,47.27km,,,1일,
2500003,23.16km,,,약 1시간,
2047099,83.36km,,,1박 2일,
1885638,20km,,,6시간,
1886058,51.6km,,,7시간,
2371878,43.15km,,,1일,
2381375,14.3km,,,10시간,
1856948,32.4km,,,5시간,
1874189,4km,,,4시간,
1960683,101km,,,1일,
1885532,18.3km,,,6.5시간,
1885651,53.6km,,,7시간,
2365369,48.93km,,,8시간,
1997062,33.39km,,,1박 2일,
2049243,91.16km,,,1박 2일,
2371969,5.78km,,,1일,
1968524,38.12km,,,6시간,
2371903,56.77km,,,1일,
2371937,20.97km,,,5시간,
2393478,12.35km,,,7시간,
2394421,1.81km,,,5시간,
2621021,37.58 km,,,1박 2일,
1854619,14.8km,,,5시간,
2523250,367.24km,,,약 5시간,
1968523,65.45km,,,1일,
1874729,77km(걷기길 2km 포함),,,8시간,
1968150,41.91km,,,1일,
1885596,9.4km,,,7시간,
1885572,10.3km,,,6시간,
2514179,42.19km,,,,
2660371,55.2km,,,1박 2일,
2391043,도보,,,1박 2일,
1997082,48.06km,,,1박 2일,
1874188,93.4km,,,9시간,
1885652,51km,,,6.5시간,
2371984,106.32km,,,1박 2일,
1960310,26.49km,,,1일,
1885557,284.2km(가거도 내 대리-항리 왕복 11.2km),,,1박 2일,
2358013,64.40km,,,1박 2일,
1885230,44.2km,,,7시간,
1886061,47km,,,7시간,
1960686,,,,1일,
2514081,25.05km,,,,
2037448,35.94km,,,1박 2일,
2393459,21.24km,,,1박 2일,
1874752,44km,,,8시간,
2365338,29.04km,,,6시간,
1854614,28.7km,,,6시간 30분,
1968147,38.77km,,,1일,
1856920,19km,,,6시간,
1856946,약 27km,,,4시간,
2514180,18.501km,,,,
1854617,22.7km,,,5시간,
1960308,87.73km,,,1박 2일,
2381383,13.37km,,,5시간,
1886076,50km(고인돌길 6.1km 포함),,,6.5시간,
2380928,97.9km,,,1박 2일,
2044570,76.54km,,,1박 2일,
2372024,6.95km,,,3시간,
2389114,27.94km,,,1일,
1855198,56km,,,8시간,
2381552,20.6km,,,5~6시간,
2006495,10.53km,,,1일,
2372025,48.18km,,,1일,
2372023,30.13km,,,1일,
1961038,32.44km,,,1일,
1961043,56.92km,,,1일,
2433992,약 40km,,,약 7시간,
2030576,2.97km,,,3시간,
2372031,23.54km,,,6시간,
1855218,28km(걷기길 1.3km 포함),,,1박 2일,
2038217,82.95km,,,1박 2일,
1855204,5km,,,6시간,
